Type → Name Bigrams
================================================================================

Format: (node_type, node_name)
('prompt.text', '功能說明')
('function', '設定翻譯語系')
('prompt.text', '功能說明')
('flow.begin', 'API呼叫失敗')
('flow.end.current', '結束目前腳本')
('prompt.text', '功能說明')
('function', '處理輸出')
('function', '處理文案結果')
('flow.begin', '呼叫API進行翻譯')
('variable', '判斷IM')
('prompt.text', '顯示結果')
('flow.begin', 'API呼叫失敗')
('custom', '上傳音訊檔')
('request.raw', 'Google Detection API')
('request.raw', 'Text to Speech')
('variable', 'API是否呼叫成功')
('flow.begin', '偵測語系')
('flow.end.current', '結束目前腳本')
('trace', '語系')
('request.raw', '呼叫生成圖片 API')
('prompt.text', '功能說明')
('flow.begin', '呼叫語音轉文字API')
('prompt.text', '產生結果')
('flow.begin', '呼叫生成圖片API')
('flow.begin', '呼叫API進行比對')
('flow.begin', '偵測語系')
('request.raw', '呼叫語音轉文字API')
('variable', 'API是否呼叫成功')
('flow.begin', '呼叫API加入標點符號')
('flow.switch', '回主選單')
('function', '處理可翻譯語系')
('prompt.text', '顯示結果')
('flow.begin', '呼叫API產生文案')
('prompt.text', '顯示結果')
('variable', '將翻譯結果更改成翻譯文章')
('prompt.text', '文章摘要設定(ac)')
('variable', '判斷是否已有輸入')
('function', '處理摘要設定')
('request.raw', '呼叫AOAI API')
('prompt.text', '顯示結果')
('prompt.text', '功能選單')
('prompt.text', '功能說明')
('flow.begin', '呼叫API')
('custom', '上傳檔案並轉為Base64字串')
('variable', '是否摘要其他文章')
('function', '處理文案prompt')
('variable', '判斷是否retry')
('function', '處理音檔語系')
('variable', '判斷IM')
('variable', '判斷是否已有輸入')
